"test_fn","surrogate","acq","strategy","igd_last_n","hv_last_n","dt_n","igd_last_mean","hv_last_mean","dt_mean","igd_last_median","hv_last_median","dt_median","igd_last_sd","hv_last_sd","dt_sd","igd_last_q025","hv_last_q025","dt_q025","igd_last_q975","hv_last_q975","dt_q975"
"highcorrVLMOP2","ctmgp","ehvi","categorical_batch",100,0.00499021482485514,0,0.0499021482485514,0,0,100,1.00003145558716e-26,1.00003425282587e-26,2.79723870679972e-31,1.00003425282587e-26,1.00003425282587e-26,100,126.970152463913,123.273505449295,47.5434326399955,49.9799019277096,228.601675647497
"VLMOP2","ctmgp","ehvi","categorical_batch",100,0.00485298738606795,0.00412562352270528,0.00289353062640324,0.00228778472319671,0.0153126770449849,100,0.896056149156994,0.895094417123114,0.00616139787596378,0.883988687084249,0.904795870837663,100,1043.84078819275,1023.42080104351,297.5722750352,500.918936121464,1518.00079049468
"highcorrVLMOP2","qqigp","ehvi","categorical_batch",100,0,0,0,0,0,100,1.00003425282587e-26,1.00003425282587e-26,0,1.00003425282587e-26,1.00003425282587e-26,100,10.1285162472725,8.3922929763794,7.2418040688854,2.79070188999176,25.2951675713062
"VLMOP2","qqigp","ehvi","categorical_batch",100,0.0638171687484609,0.037863561436312,0.054165109310721,0.0150837033390871,0.196196416768185,100,0.722026845113468,0.780478295667551,0.16463071884013,0.35738095220039,0.875774223114871,100,11.61923173666,9.84377944469452,7.24598911642741,3.18873817324639,27.3295445799828
"highcorrVLMOP2","qqmgp","ehvi","categorical_batch",100,0.0756819908009793,0.0235812633909398,0.121896550534655,0,0.468148244001548,100,0.000720851639013214,1.00003425282587e-26,0.00208282918613061,1.00003208434913e-26,0.0071374078659585,100,88.935096745491,80.8863315582275,38.1401949266402,33.4261798620224,181.770704185963
"VLMOP2","qqmgp","ehvi","categorical_batch",100,0.0926353844641559,0.0798651998296177,0.0529465028095525,0.0312127831542237,0.217732986360953,100,0.649838497548096,0.660637185000994,0.137507475604179,0.333076895038896,0.830640309854943,100,292.726525406837,277.041517496109,116.960470089257,117.971007752418,539.006864982843
"highcorrVLMOP2","ctmgp","eim","categorical_batch",100,0,0,0,0,0,100,1.00003425282587e-26,1.00003425282587e-26,0,1.00003425282587e-26,1.00003425282587e-26,100,84.4701482772827,67.1064391136169,51.7470543088862,32.489438778162,217.653461050987
"VLMOP2","ctmgp","eim","categorical_batch",100,0.00498773858092646,0.00496205483021001,0.00172869592931247,0.00239069863292411,0.00701373981302437,100,0.889370986423248,0.893186889589733,0.0109152569091005,0.868012649787597,0.90325447961191,100,86.8666209483147,70.3869384527207,52.0108322104133,38.3397454559803,236.72620022893
"highcorrVLMOP2","qqigp","eim","categorical_batch",100,0,0,0,0,0,100,1.00003425282587e-26,1.00003425282587e-26,0,1.00003425282587e-26,1.00003425282587e-26,100,9.41826571464539,8.63407802581787,5.93066591181509,2.49604870676994,25.0202623784542
"VLMOP2","qqigp","eim","categorical_batch",100,0.0498621283041223,0.0346379614917321,0.0396343378828691,0.0177494931982364,0.157331026630599,100,0.758173112655217,0.805810206678165,0.126296821872022,0.441852473466262,0.877643519597198,100,9.92398389816284,7.99678993225097,7.81016753779306,2.54389793872833,27.8308744251728
