"n_per","problem","surrogate","seed","rmse_y1","rmse_y2","rmse_agg","n_train"
20,"highcorrVLMOP2","ctmgp",1,0.021270598398631,0.0285118907321188,0.0251531933296364,40
20,"VLMOP2","ctmgp",1,0.0158698169158481,0.0208302952442052,0.0185169150900372,40
20,"highcorrVLMOP2","ctmgp",2,0.0414007481600808,0.0448645566725208,0.0431674089657711,40
20,"VLMOP2","ctmgp",2,0.0362071662520053,0.023559438245535,0.0305450979573281,40
20,"highcorrVLMOP2","ctmgp",3,0.034437407096037,0.0334261150362505,0.0339355283877741,40
20,"VLMOP2","ctmgp",3,0.032983070825579,0.0306079984509023,0.0318177036432204,40
20,"highcorrVLMOP2","ctmgp",4,0.0256046046173405,0.0284753968284744,0.0270780723293722,40
20,"VLMOP2","ctmgp",4,0.0229465419636544,0.0283726574284541,0.0258026304632122,40
20,"highcorrVLMOP2","ctmgp",5,0.028801728928994,0.0356479464844559,0.0324061389080671,40
20,"VLMOP2","ctmgp",5,0.0207053232746848,0.0441794869955986,0.0345002716156226,40
20,"highcorrVLMOP2","ctmgp",6,0.0224206727004232,0.0284016344923315,0.0255865140862867,40
20,"VLMOP2","ctmgp",6,0.0167105815148399,0.0155835324348788,0.0161568873504928,40
20,"highcorrVLMOP2","ctmgp",7,0.0292729510947195,0.0394761468155945,0.034751056337903,40
20,"VLMOP2","ctmgp",7,0.0200647727009114,0.0181174252666027,0.0191159122438634,40
20,"highcorrVLMOP2","ctmgp",8,0.0241457988534013,0.0253720724411662,0.0247665264240739,40
20,"VLMOP2","ctmgp",8,0.0211139884805378,0.0165799761528565,0.018982835915447,40
20,"highcorrVLMOP2","ctmgp",9,0.0296028914434463,0.0358769461740888,0.0328898650695843,40
20,"VLMOP2","ctmgp",9,0.0218508234430572,0.0464043942426106,0.0362686248027361,40
20,"highcorrVLMOP2","ctmgp",10,0.0258083678886188,0.0284291558514125,0.0271504029021504,40
20,"VLMOP2","ctmgp",10,0.0291825704470617,0.0306098339893791,0.0299047183129608,40
20,"highcorrVLMOP2","ctmgp",11,0.0346282969263595,0.0322168149847802,0.033444297838224,40
20,"VLMOP2","ctmgp",11,0.0515465981374423,0.0192318610397103,0.0389031891918497,40
20,"highcorrVLMOP2","ctmgp",12,0.0318557718603782,0.0417227709575886,0.037118592492172,40
20,"VLMOP2","ctmgp",12,0.0173487543158062,0.0611975045904309,0.044978405065131,40
20,"highcorrVLMOP2","ctmgp",13,0.0314705438850186,0.0339531201645806,0.0327353746070618,40
20,"VLMOP2","ctmgp",13,0.0238396968234872,0.0342201750449942,0.0294902655527704,40
20,"highcorrVLMOP2","ctmgp",14,0.0334657940323499,0.0343127073148987,0.0338918961810458,40
20,"VLMOP2","ctmgp",14,0.0488429999889449,0.0399242315762653,0.0446070785575301,40
20,"highcorrVLMOP2","ctmgp",15,0.0247281835213595,0.0267757916715711,0.025772330898712,40
20,"VLMOP2","ctmgp",15,0.0247579373608633,0.0208154247711258,0.0228717879795921,40
20,"highcorrVLMOP2","ctmgp",16,0.031952302511869,0.0375880019136551,0.0348841477154805,40
20,"VLMOP2","ctmgp",16,0.0301570672474955,0.0533159180120197,0.0433130223976252,40
20,"highcorrVLMOP2","ctmgp",17,0.0515293987306219,0.0416414674267602,0.0468470422918744,40
20,"VLMOP2","ctmgp",17,0.0771504264828016,0.0472477946527711,0.0639708621406207,40
20,"highcorrVLMOP2","ctmgp",18,0.0276878781422579,0.033044207388605,0.0304839157422538,40
20,"VLMOP2","ctmgp",18,0.0340532384333134,0.0339924152650177,0.0340228404409854,40
20,"highcorrVLMOP2","ctmgp",19,0.0303680697238372,0.0305348493426032,0.0304515737124316,40
20,"VLMOP2","ctmgp",19,0.0202069441212022,0.0273409144999541,0.0240400311606619,40
