"test_fn","surrogate","acq","strategy","seed","igd_last","hv_last","dt","err"
"VLMOP2","qqmgp","ehvi","categorical_batch",1,0.0864690579177078,0.71730686411525,457.754571914673,""
"highcorrVLMOP2","qqmgp","ehvi","categorical_batch",1,0.0793760989223247,1.00006677997707e-26,82.0092210769653,""
"VLMOP2","ctmgp","ehvi","categorical_batch",1,0.00334948768120853,0.89468454640096,1479.58546900749,""
"highcorrVLMOP2","ctmgp","ehvi","categorical_batch",1,0,1.00003425282587e-26,141.383723020554,""
"VLMOP2","qqmgp","ehvi","single_config",1,0.150815624299613,0.406612755917131,264.754677057266,""
"highcorrVLMOP2","qqmgp","ehvi","single_config",1,0.179118242660092,1.00006677997707e-26,85.3703799247742,""
"VLMOP2","qqmgp","eim","categorical_batch",1,0.153863403785993,0.630836625231479,48.985114812851,""
"highcorrVLMOP2","qqmgp","eim","categorical_batch",1,0.00190785090720417,1.00003208434913e-26,39.1840000152588,""
"VLMOP2","ctmgp","ehvi","single_config",1,0.0328302455284623,0.526576528209481,115.940060138702,""
"highcorrVLMOP2","ctmgp","ehvi","single_config",1,0,1.00003425282587e-26,51.2657849788666,""
"VLMOP2","ctmgp","eim","categorical_batch",1,0.00496174497712021,0.874725062878254,39.9514288902283,""
"highcorrVLMOP2","ctmgp","eim","categorical_batch",1,0,1.00003425282587e-26,38.3186850547791,""
"VLMOP2","qqmgp","eim","single_config",1,0.162344430171358,0.6118682388052,20.4978768825531,""
"highcorrVLMOP2","qqmgp","eim","single_config",1,0.00190785090720417,1.00003208434913e-26,18.3435552120209,""
"VLMOP2","ctmgp","eim","single_config",1,0.00627681669934997,0.89686861819007,29.4010031223297,""
"highcorrVLMOP2","ctmgp","eim","single_config",1,0,1.00003425282587e-26,26.5861480236053,""
"VLMOP2","qqigp","ehvi","categorical_batch",1,0.0568868097510381,0.728470428688973,3.18759107589722,""
"highcorrVLMOP2","qqigp","ehvi","categorical_batch",1,0,1.00003425282587e-26,3.27517509460449,""
"VLMOP2","qqigp","ehvi","single_config",1,0.0167161781231836,0.879688682483185,5.25845813751221,""
"highcorrVLMOP2","qqigp","ehvi","single_config",1,0,1.00003425282587e-26,5.18811392784119,""
"VLMOP2","qqigp","eim","categorical_batch",1,0.0308407696831964,0.842267057972716,10.167484998703,""
"highcorrVLMOP2","qqigp","eim","categorical_batch",1,0,1.00003425282587e-26,6.47487998008728,""
"VLMOP2","qqigp","eim","single_config",1,0.0242998882481246,0.858823873266281,5.89237499237061,""
"highcorrVLMOP2","qqigp","eim","single_config",1,0,1.00003425282587e-26,6.59160804748535,""
"VLMOP2","qqmgp","ehvi","categorical_batch",2,0.131756885370207,0.643381162656812,313.58876991272,""
"highcorrVLMOP2","qqmgp","ehvi","categorical_batch",2,0.144706187670963,1.00006677997707e-26,76.4412939548492,""
"VLMOP2","ctmgp","ehvi","categorical_batch",2,0.00413306967807197,0.901796846309639,1451.50910401344,""
"highcorrVLMOP2","ctmgp","ehvi","categorical_batch",2,0,1.00003425282587e-26,207.13788485527,""
"VLMOP2","qqmgp","ehvi","single_config",2,0.199569176834265,0.446969640091694,340.55987906456,""
"highcorrVLMOP2","qqmgp","ehvi","single_config",2,0.0160559705471516,1.00003208434913e-26,54.1928269863129,""
"VLMOP2","qqmgp","eim","categorical_batch",2,0.130862821244734,0.625890349011782,44.0710859298706,""
"highcorrVLMOP2","qqmgp","eim","categorical_batch",2,0.0988570738087987,1.00006677997707e-26,36.7086868286133,""
"VLMOP2","ctmgp","ehvi","single_config",2,0.0339295649349103,0.524799002884258,101.135708093643,""
"highcorrVLMOP2","ctmgp","ehvi","single_config",2,0,1.00003425282587e-26,77.5261640548706,""
"VLMOP2","ctmgp","eim","categorical_batch",2,0.00338505607598124,0.894578010097331,42.9796040058136,""
"highcorrVLMOP2","ctmgp","eim","categorical_batch",2,0,1.00003425282587e-26,40.7912809848785,""
"VLMOP2","qqmgp","eim","single_config",2,0.14926037146234,0.583262373446463,18.121062040329,""
"highcorrVLMOP2","qqmgp","eim","single_config",2,0.00190785090720417,1.00003208434913e-26,20.4085948467255,""
"VLMOP2","ctmgp","eim","single_config",2,0.00770711928414874,0.89302335998217,30.1031188964844,""
"highcorrVLMOP2","ctmgp","eim","single_config",2,0,1.00003425282587e-26,78.504585981369,""
"VLMOP2","qqigp","ehvi","categorical_batch",2,0.083385197119425,0.713421034432308,11.9232499599457,""
"highcorrVLMOP2","qqigp","ehvi","categorical_batch",2,0,1.00003425282587e-26,7.68389201164246,""
"VLMOP2","qqigp","ehvi","single_config",2,0.0496928462696712,0.488147154631489,6.33152914047241,""
"highcorrVLMOP2","qqigp","ehvi","single_config",2,0,1.00003425282587e-26,7.52867102622986,""
"VLMOP2","qqigp","eim","categorical_batch",2,0.0283345429719034,0.84888180641845,8.5616660118103,""
"highcorrVLMOP2","qqigp","eim","categorical_batch",2,0,1.00003425282587e-26,6.22021079063416,""
"VLMOP2","qqigp","eim","single_config",2,0.0330859232477749,0.837255938726881,6.1037769317627,""
"highcorrVLMOP2","qqigp","eim","single_config",2,0,1.00003425282587e-26,5.98994708061218,""
"VLMOP2","qqmgp","ehvi","categorical_batch",3,0.0504095356427075,0.721618904611841,232.261281013489,""
